community_name,room_area,room_decoration,room_direction,room_floor,room_location,room_type,room_year,title,unti_price
瀛洲湾,145,精装,南 北,高楼层/共6层,江宁,3室2厅,2005,瀛洲湾 婚装大三房 无增值税无个税 两卫  诚心出售,21930
明园,63,平层/精装,南 北,低楼层/共6层,建邺,2室1厅,1996,茶南明园云锦路地铁站双南精装修拎包即住采光好,30601
亚东城东区,146,精装,南,高楼层/共9层,栖霞,4室2厅,2007,满五唯一  精装修带地暖  顶跃 采光充足 有钥匙,37936
三牌楼大街,48,平层/简装,南 北,高楼层/共7层,鼓楼,2室1厅,1995,此房户型方正 总价低 采光不错急售,26360
翠屏湾花园城,79,平层/精装,南,高楼层/共6层,江宁,3室1厅,2005,翠屏湾花园城 南北向 居家装修 家电一应俱全,22574
天堂街,55,平层/精装,南,低楼层/共7层,秦淮,2室1厅,1990,满五年唯一，有花园有赠送面积，边户！,32837
云锦美地碧云居,101,平层/简装,南 北,低楼层/共11层,建邺,3室2厅,2005,云锦美地 电梯3房 南北通透 有产权车位 小区中间位置,41183
银城花园北片,63,平层/简装,南 北,高楼层/共7层,鼓楼,2室1厅,1996,老式装修  视野空旷 采光无遮挡 双南户型,49748
丹佛小镇,47,跃层/精装,南,高楼层/共9层,江宁,2室2厅,2009,丹佛挑高户型两房 精装修朝南满五年唯一 业主置换诚售,33820
万达华府东苑,103,平层/精装,南 北,中楼层/共11层,建邺,3室2厅,2003,万达华府经典小三房 不临街 高楼层 视野开阔 业主诚售,58407
天润城第八街区,91,简装,南 北,中楼层/共6层,浦口,3室2厅,2008,户型方正小三房 中间楼层 业主诚心,22858
万达新村,56,平层/简装,南,中楼层/共7层,玄武,2室1厅,2000,精装两房  采光佳 楼层好 光华路 石林百货旁,27124
玉带园,61,平层/其他,南,中楼层/共28层,秦淮,2室1厅,1999,双南  电梯房  朝南  中间楼层  三山街地铁站  夫子庙,31656
大华锦绣华城榴美颂,87,平层/其他,南 北,高楼层/共9层,浦口,2室2厅,2010,大华榴美颂小高层精装修方正 两房,24577
淮海新村,56,平层/简装,南 北,低楼层/共7层,秦淮,2室1厅,1991,满五年唯一 全明 地铁 南北通透 新街口 简装,46508
江岸水城,76,平层/精装,南 北,中楼层/共6层,浦口,2室2厅,2009,户型方正 居家装修 采光充足 交通便利 厨卫全明,22531
银城西堤国际三区,93,平层/精装,南,低楼层/共18层,建邺,2室2厅,2009,此房满五年 精装 新城双本部 不占用 无抵押无贷款,55414
南京恒大绿洲,89,精装,南,中楼层/共11层,江宁,2室2厅,2009,恒大绿洲正规两房户型房正东边户,29077
仁恒翠竹园,130,精装,南 北,中楼层/共10层,雨花台,3室2厅,2006,小区二期不临街 满五年唯一 中间楼层,41244
天地新城天玑座,93,平层/其他,南 北,中楼层/共6层,江宁,2室2厅,2006,天地新城 精装2室 中间楼层 南北通透 东边户 采光充足,23616
时光澔韵,82,平层/简装,南 北,高楼层/共11层,雨花台,2室2厅,2007,时光澔韵 南北通透 楼层好视野开阔 银城物业 公园环境,35219
翠屏国际水杉苑,132,平层/简装,南 北,中楼层/共6层,江宁,3室2厅,2006,此房为翠屏国际大三房 南北通透格局视野开阔 满五唯一,25987
明发滨江新城二期,137,平层/精装,南 北,低楼层/共18层,浦口,4室2厅,2007,钥匙房 业主自述此房装修30万的 保养得很好 户型方正,20230
天润城第一街区,85,精装,南 北,低楼层/共6层,浦口,2室2厅,2006,距离柳州东路地铁一千米 正规两房 双卧朝南采光不遮挡,20608
定淮门6号,55,平层/简装,南 北,中楼层/共6层,鼓楼,2室1厅,1996,低楼层 居家装修 诚心出售 房龄新,28336
雨山美地,88,平层/毛坯,南 北,中楼层/共11层,浦口,2室1厅,2011,新上通透两房 户型方正 采光好 不临街 满五年唯一,23526
公教一村,84,平层/简装,南 北,中楼层/共5层,玄武,3室1厅,1988,满五年 南北通透 明厨明卫 采光好 可停车 市委房改,71807
天润城第十街区,90,平层/精装,南 北,高楼层/共6层,浦口,3室2厅,2009,天润城第十街区  采光充足  环境好,23575
万科金域蓝湾,134,平层/精装,南 北,低楼层/共18层,江宁,3室2厅,2010,品牌地产 户型好 精装修北京东路分校施教区万科一期的,35572
东城水岸,103,平层/精装,南 北,低楼层/共16层,秦淮,3室1厅,2003,南北通透 小区中间 位置安静 配套成熟 交通方便,38835
东渡国际青年城,76,平层/精装,南,高楼层/共21层,江宁,2室2厅,2011,东渡国际青年城，居家婚装，两房朝南，采光大好无遮挡,29945
天地花园,59,平层/毛坯,南 北,中楼层/共7层,秦淮,2室1厅,1996,苜蓿园大街 月牙湖畔 采光好 毛坯易装修,26462
堂子街小区,48,平层/毛坯,南 北,中楼层/共7层,秦淮,2室1厅,1986,汉中门 省中医院 成熟小区 中间楼层,34276
凤凰西街188号,77,平层/其他,南 北,中楼层/共7层,鼓楼,3室1厅,1998,凤凰西街 无增值税 婚装修 拎包入住,36628
御水湾花园,60,简装,东 南 北,高楼层/共7层,秦淮,2室2厅,2005,光华路 5.2米挑高 东边户带阳台 小区里面少有户型,46243
康博花园,132,平层/精装,南 北,中楼层/共11层,江宁,3室2厅,2010,三房 齐装尽配 格局方正 次新小区,27142
力联大厦,97,精装,西南,低楼层/共31层,秦淮,2室1厅,2012,全明 满五年 新街口 落户口 户部街居家装修,32272
翠屏东南,125,简装,南 北,中楼层/共6层,江宁,3室2厅,2005,满五年唯一  经典三房 楼层号 诚心出售,23997
